PROV_CODE,MUN_CODE,BGY_CODE,DATE,RAB_ANIMBITE_M,RAB_ANIMBITE_F
RIZAL,TAYTAY,Muzon,01/01/2025,0,0
RIZAL,TAYTAY,Dolores (Pob.),01/01/2025,0,0
RIZAL,TAYTAY,San Isidro,01/01/2025,528,667
RIZAL,TAYTAY,San Juan,01/01/2025,0,0
RIZAL,TAYTAY,Santa Ana,01/01/2025,0,0
RIZAL,ANGONO,San Vicente,01/01/2025,0,0
RIZAL,ANGONO,Santo Niño,01/01/2025,0,0
RIZAL,ANGONO,Mahabang Parang,01/01/2025,1,2
RIZAL,ANGONO,Bagumbayan,01/01/2025,0,0
RIZAL,ANGONO,Kalayaan,01/01/2025,0,0
RIZAL,ANGONO,Poblacion Ibaba,01/01/2025,0,0
RIZAL,ANGONO,Poblacion Itaas,01/01/2025,0,0
RIZAL,ANGONO,San Isidro,01/01/2025,0,0
RIZAL,ANGONO,San Pedro,01/01/2025,0,0
RIZAL,ANGONO,San Roque,01/01/2025,0,0
RIZAL,CITY OF ANTIPOLO,Santa Cruz,01/01/2025,70,108
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,01/01/2025,49,41
RIZAL,CITY OF ANTIPOLO,Beverly Hills,01/01/2025,3,1
RIZAL,CITY OF ANTIPOLO,Calawis,01/01/2025,13,11
RIZAL,CITY OF ANTIPOLO,Cupang,01/01/2025,47,62
RIZAL,CITY OF ANTIPOLO,Dalig,01/01/2025,66,77
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),01/01/2025,103,134
RIZAL,CITY OF ANTIPOLO,Inarawan,01/01/2025,35,54
RIZAL,CITY OF ANTIPOLO,Mambugan,01/01/2025,42,64
RIZAL,CITY OF ANTIPOLO,Mayamot,01/01/2025,56,77
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,01/01/2025,11,9
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),01/01/2025,71,75
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),01/01/2025,170,206
RIZAL,CITY OF ANTIPOLO,San Juan,01/01/2025,8,21
RIZAL,CITY OF ANTIPOLO,San Luis,01/01/2025,58,99
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),01/01/2025,102,121
RIZAL,CAINTA,Santo Domingo,01/01/2025,0,0
RIZAL,CAINTA,San Andres (Pob.),01/01/2025,5,12
RIZAL,CAINTA,San Juan,01/01/2025,7,2
RIZAL,CAINTA,San Isidro,01/01/2025,5,9
RIZAL,CAINTA,Santo Niño,01/01/2025,0,0
RIZAL,CAINTA,Santa Rosa,01/01/2025,0,0
RIZAL,CAINTA,San Roque,01/01/2025,0,0
RIZAL,ANGONO,Bagumbayan,02/01/2025,3,8
RIZAL,ANGONO,Kalayaan,02/01/2025,25,41
RIZAL,ANGONO,Mahabang Parang,02/01/2025,19,32
RIZAL,ANGONO,Poblacion Ibaba,02/01/2025,10,18
RIZAL,ANGONO,Poblacion Itaas,02/01/2025,3,6
RIZAL,ANGONO,San Isidro,02/01/2025,55,82
RIZAL,ANGONO,San Roque,02/01/2025,13,23
RIZAL,ANGONO,San Pedro,02/01/2025,3,2
RIZAL,ANGONO,San Vicente,02/01/2025,21,37
RIZAL,ANGONO,Santo Niño,02/01/2025,7,3
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,02/01/2025,59,56
RIZAL,CITY OF ANTIPOLO,Beverly Hills,02/01/2025,4,1
RIZAL,CITY OF ANTIPOLO,Calawis,02/01/2025,8,10
RIZAL,CITY OF ANTIPOLO,Cupang,02/01/2025,73,84
RIZAL,CITY OF ANTIPOLO,Dalig,02/01/2025,93,115
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),02/01/2025,116,160
RIZAL,CITY OF ANTIPOLO,Inarawan,02/01/2025,56,55
RIZAL,CITY OF ANTIPOLO,Mambugan,02/01/2025,64,75
RIZAL,CITY OF ANTIPOLO,Mayamot,02/01/2025,71,88
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,02/01/2025,10,14
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),02/01/2025,93,86
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),02/01/2025,177,202
RIZAL,CITY OF ANTIPOLO,San Juan,02/01/2025,9,25
RIZAL,CITY OF ANTIPOLO,San Luis,02/01/2025,92,123
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),02/01/2025,123,140
RIZAL,CITY OF ANTIPOLO,Santa Cruz,02/01/2025,93,114
RIZAL,CAINTA,Santo Domingo,02/01/2025,68,94
RIZAL,CAINTA,San Juan,02/01/2025,166,264
RIZAL,CAINTA,San Isidro,02/01/2025,79,92
RIZAL,CAINTA,Santa Rosa,02/01/2025,1,6
RIZAL,CAINTA,Santo Niño,02/01/2025,14,11
RIZAL,CAINTA,San Roque,02/01/2025,30,30
RIZAL,CAINTA,San Andres (Pob.),02/01/2025,154,205
RIZAL,TAYTAY,Dolores (Pob.),02/01/2025,0,0
RIZAL,TAYTAY,Muzon,02/01/2025,0,0
RIZAL,TAYTAY,San Isidro,02/01/2025,400,519
RIZAL,TAYTAY,San Juan,02/01/2025,0,0
RIZAL,TAYTAY,Santa Ana,02/01/2025,0,0
RIZAL,TAYTAY,Dolores (Pob.),03/01/2025,0,0
RIZAL,TAYTAY,San Isidro,03/01/2025,525,756
RIZAL,TAYTAY,Muzon,03/01/2025,0,0
RIZAL,TAYTAY,San Juan,03/01/2025,0,0
RIZAL,TAYTAY,Santa Ana,03/01/2025,0,0
RIZAL,ANGONO,Mahabang Parang,03/01/2025,40,61
RIZAL,ANGONO,Bagumbayan,03/01/2025,5,3
RIZAL,ANGONO,Kalayaan,03/01/2025,17,36
RIZAL,ANGONO,Poblacion Ibaba,03/01/2025,5,4
RIZAL,ANGONO,Poblacion Itaas,03/01/2025,0,1
RIZAL,ANGONO,San Isidro,03/01/2025,61,56
RIZAL,ANGONO,San Pedro,03/01/2025,7,6
RIZAL,ANGONO,San Roque,03/01/2025,25,48
RIZAL,ANGONO,San Vicente,03/01/2025,29,30
RIZAL,ANGONO,Santo Niño,03/01/2025,1,4
RIZAL,CITY OF ANTIPOLO,Santa Cruz,03/01/2025,75,110
RIZAL,CITY OF ANTIPOLO,Bagong Nayon,03/01/2025,51,43
RIZAL,CITY OF ANTIPOLO,Beverly Hills,03/01/2025,1,0
RIZAL,CITY OF ANTIPOLO,Calawis,03/01/2025,11,9
RIZAL,CITY OF ANTIPOLO,Cupang,03/01/2025,45,60
RIZAL,CITY OF ANTIPOLO,Dalig,03/01/2025,64,75
RIZAL,CITY OF ANTIPOLO,Dela Paz (Pob.),03/01/2025,115,136
RIZAL,CITY OF ANTIPOLO,Inarawan,03/01/2025,37,56
RIZAL,CITY OF ANTIPOLO,Mambugan,03/01/2025,44,66
RIZAL,CITY OF ANTIPOLO,Mayamot,03/01/2025,58,79
RIZAL,CITY OF ANTIPOLO,Muntingdilaw,03/01/2025,13,11
RIZAL,CITY OF ANTIPOLO,San Isidro (Pob.),03/01/2025,69,73
RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),03/01/2025,168,204
RIZAL,CITY OF ANTIPOLO,San Juan,03/01/2025,10,22
RIZAL,CITY OF ANTIPOLO,San Luis,03/01/2025,57,95
RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),03/01/2025,105,115
